!   mu    Theta      P11          P12          P33          P34
  0.9995   1.87     46.78270     -0.02020     46.78268     -0.02729
  0.9972   4.30     43.77658     -0.09955     43.77623     -0.13458
  0.9931   6.75     38.90006     -0.21720     38.89816     -0.29402
  0.9872   9.19     32.90189     -0.34054     32.89631     -0.46174
  0.9794  11.64     26.57773     -0.43989     26.56605     -0.59742
  0.9699  14.09     20.59419     -0.49720     20.57460     -0.67602
  0.9586  16.54     15.39010     -0.50869     15.36207     -0.69149
  0.9456  18.98     11.16308     -0.48188     11.12754     -0.65323
  0.9309  21.43      7.91728     -0.43012      7.87624     -0.57892
  0.9144  23.88      5.53607     -0.36721      5.49202     -0.48740
  0.8963  26.33      3.85042     -0.30404      3.80575     -0.39404
  0.8765  28.78      2.68768     -0.24739      2.64425     -0.30886
  0.8551  31.23      1.89833     -0.20032      1.85737     -0.23682
  0.8322  33.68      1.36564     -0.16319      1.32771     -0.17911
  0.8077  36.12      1.00474     -0.13490      0.96995     -0.13465
  0.7818  38.57      0.75710     -0.11372      0.72523     -0.10131
  0.7545  41.02      0.58378     -0.09791      0.55445     -0.07673
  0.7257  43.47      0.45951     -0.08597      0.43230     -0.05875
  0.6957  45.92      0.36811     -0.07674      0.34258     -0.04560
  0.6643  48.37      0.29921     -0.06937      0.27500     -0.03592
  0.6318  50.82      0.24614     -0.06330      0.22295     -0.02871
  0.5981  53.27      0.20450     -0.05813      0.18208     -0.02326
  0.5633  55.72      0.17135     -0.05361      0.14952     -0.01907
  0.5275  58.16      0.14464     -0.04959      0.12325     -0.01580
  0.4907  60.61      0.12291     -0.04596      0.10186     -0.01319
  0.4530  63.06      0.10510     -0.04265      0.08432     -0.01109
  0.4145  65.51      0.09040     -0.03962      0.06983     -0.00938
  0.3753  67.96      0.07822     -0.03684      0.05780     -0.00797
  0.3353  70.41      0.06806     -0.03426      0.04776     -0.00679
  0.2947  72.86      0.05955     -0.03189      0.03936     -0.00581
  0.2536  75.31      0.05240     -0.02969      0.03229     -0.00499
  0.2121  77.76      0.04638     -0.02766      0.02632     -0.00429
  0.1701  80.20      0.04127     -0.02577      0.02126     -0.00371
  0.1279  82.65      0.03694     -0.02401      0.01696     -0.00321
  0.0854  85.10      0.03325     -0.02238      0.01330     -0.00279
  0.0427  87.55      0.03011     -0.02087      0.01017     -0.00243
  0.0000  90.00      0.02741     -0.01945      0.00748     -0.00213
 -0.0427  92.45      0.02510     -0.01813      0.00517     -0.00187
 -0.0854  94.90      0.02312     -0.01690      0.00317     -0.00166
 -0.1279  97.35      0.02141     -0.01575      0.00145     -0.00147
 -0.1701  99.80      0.01993     -0.01467     -0.00004     -0.00131
 -0.2121 102.24      0.01866     -0.01366     -0.00134     -0.00118
 -0.2536 104.69      0.01755     -0.01272     -0.00246     -0.00107
 -0.2947 107.14      0.01660     -0.01183     -0.00344     -0.00098
 -0.3353 109.59      0.01577     -0.01099     -0.00430     -0.00090
 -0.3753 112.04      0.01506     -0.01020     -0.00504     -0.00084
 -0.4145 114.49      0.01444     -0.00946     -0.00570     -0.00078
 -0.4530 116.94      0.01390     -0.00876     -0.00627     -0.00074
 -0.4907 119.39      0.01343     -0.00810     -0.00677     -0.00070
 -0.5275 121.84      0.01302     -0.00748     -0.00720     -0.00067
 -0.5633 124.28      0.01267     -0.00689     -0.00758     -0.00064
 -0.5981 126.73      0.01236     -0.00634     -0.00791     -0.00062
 -0.6318 129.18      0.01210     -0.00581     -0.00820     -0.00060
 -0.6643 131.63      0.01186     -0.00531     -0.00844     -0.00057
 -0.6957 134.08      0.01166     -0.00484     -0.00865     -0.00055
 -0.7257 136.53      0.01149     -0.00440     -0.00883     -0.00052
 -0.7545 138.98      0.01133     -0.00397     -0.00898     -0.00049
 -0.7818 141.43      0.01119     -0.00357     -0.00910     -0.00045
 -0.8077 143.88      0.01107     -0.00319     -0.00921     -0.00040
 -0.8322 146.32      0.01095     -0.00282     -0.00930     -0.00034
 -0.8551 148.77      0.01085     -0.00247     -0.00938     -0.00027
 -0.8765 151.22      0.01075     -0.00213     -0.00945     -0.00019
 -0.8963 153.67      0.01065     -0.00181     -0.00954     -0.00011
 -0.9144 156.12      0.01057     -0.00150     -0.00963     -0.00002
 -0.9309 158.57      0.01049     -0.00122     -0.00973      0.00007
 -0.9456 161.02      0.01043     -0.00095     -0.00985      0.00014
 -0.9586 163.46      0.01040     -0.00071     -0.00999      0.00019
 -0.9699 165.91      0.01039     -0.00051     -0.01013      0.00021
 -0.9794 168.36      0.01041     -0.00034     -0.01027      0.00020
 -0.9872 170.81      0.01046     -0.00020     -0.01040      0.00016
 -0.9931 173.25      0.01053     -0.00011     -0.01050      0.00010
 -0.9972 175.70      0.01058     -0.00004     -0.01058      0.00005
 -0.9995 178.13      0.01062     -0.00001     -0.01062      0.00001
