!   mu    Theta      P11          P12          P33          P34
  0.5667  55.48      0.79862      0.07288      0.70514      0.01328
  0.5428  57.12      0.74763      0.07178      0.65475      0.01612
  0.5185  58.77      0.70046      0.07060      0.60811      0.01853
  0.4938  60.41      0.65679      0.06938      0.56492      0.02059
  0.4686  62.06      0.61634      0.06812      0.52491      0.02234
  0.4431  63.70      0.57884      0.06684      0.48784      0.02382
  0.4172  65.34      0.54406      0.06555      0.45347      0.02508
  0.3909  66.99      0.51179      0.06426      0.42161      0.02615
  0.3644  68.63      0.48184      0.06298      0.39207      0.02706
  0.3375  70.27      0.45402      0.06171      0.36468      0.02784
  0.3104  71.92      0.42819      0.06047      0.33928      0.02850
  0.2830  73.56      0.40419      0.05925      0.31573      0.02906
  0.2554  75.21      0.38189      0.05805      0.29389      0.02954
  0.2275  76.85      0.36117      0.05689      0.27363      0.02996
  0.1995  78.49      0.34190      0.05575      0.25485      0.03032
  0.1713  80.14      0.32400      0.05465      0.23743      0.03063
  0.1430  81.78      0.30736      0.05358      0.22128      0.03091
  0.1145  83.42      0.29190      0.05255      0.20631      0.03117
  0.0860  85.07      0.27753      0.05155      0.19242      0.03140
  0.0573  86.71      0.26419      0.05059      0.17954      0.03162
  0.0287  88.36      0.25180      0.04967      0.16760      0.03183
  0.0000  90.00      0.24030      0.04879      0.15653      0.03204
 -0.0287  91.64      0.22964      0.04795      0.14627      0.03225
 -0.0573  93.29      0.21977      0.04715      0.13676      0.03247
 -0.0860  94.93      0.21063      0.04640      0.12795      0.03270
 -0.1145  96.58      0.20219      0.04569      0.11979      0.03294
 -0.1430  98.22      0.19440      0.04503      0.11223      0.03321
 -0.1713  99.86      0.18723      0.04442      0.10524      0.03351
 -0.1995 101.51      0.18065      0.04386      0.09878      0.03383
 -0.2275 103.15      0.17462      0.04336      0.09281      0.03420
 -0.2554 104.79      0.16913      0.04291      0.08730      0.03461
 -0.2830 106.44      0.16415      0.04252      0.08222      0.03507
 -0.3104 108.08      0.15967      0.04220      0.07756      0.03558
 -0.3375 109.73      0.15566      0.04194      0.07328      0.03616
 -0.3644 111.37      0.15212      0.04176      0.06936      0.03681
 -0.3909 113.01      0.14905      0.04165      0.06580      0.03755
 -0.4172 114.66      0.14642      0.04162      0.06256      0.03837
 -0.4431 116.30      0.14426      0.04168      0.05964      0.03930
 -0.4686 117.94      0.14255      0.04184      0.05702      0.04036
 -0.4938 119.59      0.14132      0.04211      0.05471      0.04154
 -0.5185 121.23      0.14058      0.04249      0.05268      0.04288
 -0.5428 122.88      0.14034      0.04302      0.05093      0.04439
 -0.5667 124.52      0.14065      0.04369      0.04947      0.04611
 -0.5901 126.16      0.14154      0.04454      0.04828      0.04805
 -0.6130 127.81      0.14305      0.04558      0.04738      0.05025
 -0.6354 129.45      0.14525      0.04687      0.04677      0.05275
 -0.6573 131.10      0.14823      0.04843      0.04646      0.05559
 -0.6787 132.74      0.15206      0.05032      0.04645      0.05884
 -0.6995 134.38      0.15686      0.05261      0.04677      0.06254
 -0.7197 136.03      0.16277      0.05537      0.04743      0.06676
 -0.7393 137.67      0.16994      0.05872      0.04845      0.07159
 -0.7583 139.31      0.17854      0.06276      0.04982      0.07709
 -0.7767 140.96      0.18875      0.06765      0.05155      0.08333
 -0.7944 142.60      0.20075      0.07355      0.05359      0.09032
 -0.8115 144.25      0.21469      0.08062      0.05587      0.09802
 -0.8280 145.89      0.23064      0.08905      0.05825      0.10626
 -0.8437 147.53      0.24854      0.09897      0.06053      0.11467
 -0.8588 149.18      0.26814      0.11048      0.06243      0.12261
 -0.8731 150.82      0.28892      0.12354      0.06356      0.12911
 -0.8867 152.46      0.31003      0.13794      0.06344      0.13283
 -0.8996 154.11      0.33029      0.15323      0.06145      0.13205
 -0.9118 155.75      0.34833      0.16869      0.05683      0.12491
 -0.9232 157.40      0.36288      0.18336      0.04856      0.10967
 -0.9338 159.04      0.37331      0.19614      0.03525      0.08527
 -0.9437 160.68      0.38020      0.20598      0.01486      0.05186
 -0.9528 162.33      0.38592      0.21203     -0.01552      0.01118
 -0.9611 163.97      0.39475      0.21372     -0.05984     -0.03336
 -0.9686 165.61      0.41249      0.21052     -0.12272     -0.07706
 -0.9754 167.26      0.44556      0.20176     -0.20852     -0.11461
 -0.9813 168.90      0.49967      0.18649     -0.31971     -0.14070
 -0.9864 170.54      0.57835      0.16380     -0.45501     -0.15080
 -0.9907 172.19      0.68105      0.13357     -0.60787     -0.14217
 -0.9942 173.83      0.80123      0.09749     -0.76608     -0.11550
 -0.9969 175.47      0.92504      0.05974     -0.91293     -0.07649
 -0.9987 177.11      1.03235      0.02671     -1.03008     -0.03603
 -0.9998 178.74      1.10139      0.00535     -1.10131     -0.00743
