!   mu    Theta      P11          P12          P33          P34
  0.9998   1.26     38.70228      0.00387     38.70224     -0.04062
  0.9987   2.89     36.33195      0.01906     36.33082     -0.19806
  0.9969   4.53     32.58434      0.04162     32.57831     -0.42537
  0.9942   6.17     28.12713      0.06573     28.10965     -0.65623
  0.9907   7.81     23.58454      0.08653     23.54818     -0.83835
  0.9864   9.46     19.39693      0.10132     19.33586     -0.94664
  0.9813  11.10     15.79227      0.10953     15.70384     -0.98082
  0.9754  12.74     12.83002      0.11194     12.71520     -0.95536
  0.9686  14.39     10.46701      0.10993     10.32990     -0.88955
  0.9611  16.03      8.61367      0.10498      8.46036     -0.80130
  0.9528  17.67      7.17031      0.09843      7.00762     -0.70444
  0.9437  19.32      6.04584      0.09141      5.88013     -0.60837
  0.9338  20.96      5.16476      0.08482      5.00112     -0.51871
  0.9232  22.60      4.46782      0.07928      4.30967     -0.43829
  0.9118  24.25      3.90996      0.07511      3.75909     -0.36803
  0.8996  25.89      3.45744      0.07237      3.31434     -0.30767
  0.8867  27.54      3.08518      0.07092      2.94947     -0.25636
  0.8731  29.18      2.77457      0.07049      2.64543     -0.21297
  0.8588  30.82      2.51179      0.07081      2.38822     -0.17635
  0.8437  32.47      2.28651      0.07161      2.16760     -0.14541
  0.8280  34.11      2.09104      0.07264      1.97600     -0.11921
  0.8115  35.75      1.91958      0.07373      1.80778     -0.09696
  0.7944  37.40      1.76773      0.07475      1.65871     -0.07803
  0.7767  39.04      1.63216      0.07562      1.52556     -0.06188
  0.7583  40.69      1.51029      0.07629      1.40583     -0.04808
  0.7393  42.33      1.40010      0.07673      1.29755     -0.03628
  0.7197  43.97      1.30002      0.07693      1.19917     -0.02620
  0.6995  45.62      1.20875      0.07690      1.10942     -0.01758
  0.6787  47.26      1.12527      0.07666      1.02727     -0.01021
  0.6573  48.90      1.04870      0.07621      0.95187     -0.00392
  0.6354  50.55      0.97833      0.07559      0.88252      0.00145
  0.6130  52.19      0.91353      0.07481      0.81862      0.00604
  0.5901  53.84      0.85378      0.07390      0.75964      0.00994
