!   mu    Theta      P11          P12          P33          P34
  0.3729  68.10      0.17610      0.02110      0.14011      0.02002
  0.3625  68.75      0.16929      0.02039      0.13356      0.01953
  0.3520  69.39      0.16276      0.01970      0.12730      0.01905
  0.3414  70.04      0.15651      0.01902      0.12131      0.01858
  0.3308  70.68      0.15052      0.01836      0.11558      0.01812
  0.3202  71.32      0.14478      0.01771      0.11010      0.01768
  0.3096  71.97      0.13929      0.01707      0.10486      0.01724
  0.2988  72.61      0.13402      0.01645      0.09984      0.01681
  0.2881  73.26      0.12898      0.01585      0.09504      0.01638
  0.2773  73.90      0.12416      0.01525      0.09045      0.01597
  0.2665  74.54      0.11954      0.01468      0.08606      0.01557
  0.2557  75.19      0.11512      0.01411      0.08186      0.01519
  0.2448  75.83      0.11089      0.01355      0.07785      0.01481
  0.2339  76.48      0.10684      0.01302      0.07401      0.01445
  0.2229  77.12      0.10296      0.01249      0.07034      0.01409
  0.2119  77.76      0.09925      0.01199      0.06683      0.01375
  0.2009  78.41      0.09570      0.01149      0.06347      0.01341
  0.1899  79.05      0.09230      0.01101      0.06026      0.01309
  0.1789  79.70      0.08906      0.01054      0.05719      0.01278
  0.1678  80.34      0.08595      0.01008      0.05426      0.01248
  0.1567  80.98      0.08298      0.00964      0.05145      0.01219
  0.1456  81.63      0.08014      0.00921      0.04877      0.01191
  0.1345  82.27      0.07742      0.00879      0.04621      0.01163
  0.1233  82.92      0.07482      0.00839      0.04376      0.01137
  0.1122  83.56      0.07233      0.00801      0.04141      0.01112
  0.1010  84.20      0.06996      0.00763      0.03917      0.01087
  0.0898  84.85      0.06769      0.00727      0.03704      0.01064
  0.0786  85.49      0.06553      0.00692      0.03499      0.01042
  0.0674  86.14      0.06346      0.00658      0.03304      0.01020
  0.0562  86.78      0.06149      0.00625      0.03117      0.01000
  0.0449  87.42      0.05960      0.00594      0.02939      0.00980
  0.0337  88.07      0.05780      0.00565      0.02770      0.00961
  0.0225  88.71      0.05609      0.00536      0.02608      0.00943
  0.0112  89.36      0.05445      0.00509      0.02453      0.00926
  0.0000  90.00      0.05289      0.00484      0.02306      0.00910
 -0.0112  90.64      0.05140      0.00459      0.02165      0.00895
 -0.0225  91.29      0.04999      0.00435      0.02031      0.00881
 -0.0337  91.93      0.04864      0.00413      0.01904      0.00867
 -0.0449  92.58      0.04736      0.00391      0.01783      0.00855
 -0.0562  93.22      0.04614      0.00372      0.01668      0.00843
 -0.0674  93.86      0.04498      0.00353      0.01559      0.00832
 -0.0786  94.51      0.04388      0.00335      0.01455      0.00822
 -0.0898  95.15      0.04284      0.00319      0.01357      0.00813
 -0.1010  95.80      0.04185      0.00303      0.01264      0.00805
 -0.1122  96.44      0.04092      0.00288      0.01176      0.00798
 -0.1233  97.08      0.04004      0.00274      0.01093      0.00792
 -0.1345  97.73      0.03921      0.00261      0.01015      0.00787
 -0.1456  98.37      0.03844      0.00248      0.00943      0.00783
 -0.1567  99.02      0.03772      0.00236      0.00875      0.00780
 -0.1678  99.66      0.03705      0.00224      0.00812      0.00778
 -0.1789 100.30      0.03643      0.00213      0.00754      0.00777
 -0.1899 100.95      0.03587      0.00201      0.00700      0.00778
 -0.2009 101.59      0.03536      0.00190      0.00651      0.00781
 -0.2119 102.24      0.03490      0.00177      0.00606      0.00785
 -0.2229 102.88      0.03451      0.00165      0.00567      0.00791
 -0.2339 103.52      0.03416      0.00151      0.00532      0.00799
 -0.2448 104.17      0.03388      0.00136      0.00501      0.00810
 -0.2557 104.81      0.03366      0.00120      0.00475      0.00822
 -0.2665 105.46      0.03350      0.00103      0.00454      0.00838
 -0.2773 106.10      0.03340      0.00084      0.00436      0.00857
 -0.2881 106.74      0.03338      0.00063      0.00423      0.00880
 -0.2988 107.39      0.03342      0.00040      0.00413      0.00907
 -0.3096 108.03      0.03353      0.00014      0.00408      0.00938
 -0.3202 108.68      0.03372     -0.00014      0.00406      0.00975
 -0.3308 109.32      0.03399     -0.00045      0.00408      0.01016
 -0.3414 109.96      0.03434     -0.00079      0.00413      0.01063
 -0.3520 110.61      0.03478     -0.00116      0.00421      0.01116
 -0.3625 111.25      0.03530     -0.00156      0.00432      0.01177
 -0.3729 111.90      0.03592     -0.00199      0.00446      0.01245
 -0.3833 112.54      0.03664     -0.00245      0.00462      0.01321
 -0.3937 113.18      0.03745     -0.00295      0.00480      0.01406
 -0.4040 113.83      0.03837     -0.00348      0.00500      0.01500
 -0.4143 114.47      0.03940     -0.00405      0.00523      0.01604
 -0.4245 115.12      0.04055     -0.00465      0.00547      0.01718
 -0.4346 115.76      0.04182     -0.00528      0.00572      0.01844
 -0.4447 116.40      0.04322     -0.00596      0.00599      0.01983
 -0.4547 117.05      0.04477     -0.00667      0.00628      0.02135
 -0.4647 117.69      0.04646     -0.00743      0.00658      0.02301
 -0.4746 118.34      0.04830     -0.00822      0.00691      0.02481
 -0.4845 118.98      0.05031     -0.00907      0.00725      0.02677
 -0.4943 119.62      0.05250     -0.00996      0.00762      0.02889
 -0.5040 120.27      0.05488     -0.01091      0.00801      0.03120
 -0.5137 120.91      0.05745     -0.01193      0.00843      0.03369
 -0.5233 121.56      0.06025     -0.01302      0.00888      0.03638
 -0.5329 122.20      0.06327     -0.01420      0.00938      0.03927
 -0.5424 122.84      0.06653     -0.01547      0.00994      0.04237
 -0.5518 123.49      0.07004     -0.01684      0.01054      0.04569
 -0.5611 124.13      0.07382     -0.01834      0.01120      0.04924
 -0.5704 124.78      0.07787     -0.01998      0.01192      0.05301
 -0.5796 125.42      0.08221     -0.02178      0.01272      0.05702
 -0.5887 126.06      0.08685     -0.02377      0.01360      0.06125
 -0.5977 126.71      0.09180     -0.02596      0.01458      0.06570
 -0.6067 127.35      0.09704     -0.02837      0.01567      0.07035
 -0.6156 128.00      0.10259     -0.03102      0.01687      0.07519
 -0.6244 128.64      0.10842     -0.03394      0.01817      0.08018
 -0.6332 129.28      0.11452     -0.03715      0.01959      0.08530
 -0.6418 129.93      0.12088     -0.04067      0.02114      0.09049
 -0.6504 130.57      0.12748     -0.04453      0.02282      0.09570
 -0.6589 131.22      0.13426     -0.04873      0.02465      0.10088
 -0.6673 131.86      0.14120     -0.05326      0.02662      0.10593
 -0.6756 132.50      0.14820     -0.05813      0.02872      0.11078
 -0.6839 133.15      0.15521     -0.06331      0.03094      0.11532
 -0.6920 133.79      0.16215     -0.06878      0.03327      0.11946
 -0.7001 134.44      0.16894     -0.07452      0.03571      0.12307
 -0.7081 135.08      0.17549     -0.08048      0.03826      0.12605
 -0.7160 135.72      0.18170     -0.08656      0.04090      0.12826
 -0.7238 136.37      0.18745     -0.09267      0.04360      0.12960
 -0.7315 137.01      0.19263     -0.09871      0.04632      0.12995
 -0.7391 137.66      0.19713     -0.10455      0.04903      0.12920
 -0.7466 138.30      0.20086     -0.11005      0.05171      0.12728
 -0.7541 138.94      0.20374     -0.11507      0.05432      0.12412
 -0.7614 139.59      0.20571     -0.11945      0.05683      0.11973
 -0.7686 140.23      0.20671     -0.12302      0.05919      0.11409
 -0.7758 140.88      0.20671     -0.12561      0.06137      0.10727
 -0.7828 141.52      0.20568     -0.12706      0.06330      0.09936
 -0.7898 142.16      0.20366     -0.12724      0.06495      0.09050
 -0.7966 142.81      0.20071     -0.12602      0.06629      0.08088
 -0.8034 143.45      0.19693     -0.12336      0.06731      0.07072
 -0.8100 144.10      0.19245     -0.11920      0.06798      0.06030
 -0.8165 144.74      0.18738     -0.11357      0.06829      0.04988
 -0.8230 145.38      0.18189     -0.10652      0.06821      0.03977
 -0.8293 146.03      0.17613     -0.09817      0.06775      0.03025
 -0.8355 146.67      0.17028     -0.08868      0.06693      0.02160
 -0.8417 147.32      0.16454     -0.07827      0.06579      0.01408
 -0.8477 147.96      0.15906     -0.06721      0.06436      0.00789
 -0.8536 148.60      0.15398     -0.05578      0.06269      0.00317
 -0.8594 149.25      0.14942     -0.04429      0.06082      0.00000
 -0.8651 149.89      0.14546     -0.03301      0.05879     -0.00162
 -0.8707 150.54      0.14215     -0.02222      0.05666     -0.00173
 -0.8761 151.18      0.13954     -0.01218      0.05450     -0.00045
 -0.8815 151.82      0.13761     -0.00309      0.05235      0.00205
 -0.8868 152.47      0.13633      0.00491      0.05027      0.00552
 -0.8919 153.11      0.13565      0.01171      0.04829      0.00973
 -0.8969 153.76      0.13549      0.01730      0.04642      0.01439
 -0.9018 154.40      0.13577      0.02170      0.04469      0.01928
 -0.9066 155.04      0.13644      0.02501      0.04311      0.02417
 -0.9113 155.69      0.13743      0.02735      0.04169      0.02886
 -0.9159 156.33      0.13866      0.02886      0.04043      0.03321
 -0.9203 156.98      0.14008      0.02973      0.03934      0.03708
 -0.9247 157.62      0.14163      0.03012      0.03840      0.04044
 -0.9289 158.26      0.14327      0.03023      0.03763      0.04326
 -0.9330 158.91      0.14499      0.03019      0.03701      0.04561
 -0.9370 159.55      0.14677      0.03013      0.03657      0.04755
 -0.9409 160.20      0.14861      0.03011      0.03629      0.04913
 -0.9446 160.84      0.15049      0.03019      0.03618      0.05041
 -0.9482 161.48      0.15239      0.03041      0.03624      0.05140
 -0.9517 162.13      0.15430      0.03078      0.03646      0.05215
 -0.9551 162.77      0.15621      0.03129      0.03684      0.05267
 -0.9584 163.42      0.15811      0.03188      0.03738      0.05299
 -0.9616 164.06      0.16003      0.03253      0.03813      0.05312
 -0.9646 164.70      0.16207      0.03325      0.03924      0.05313
 -0.9675 165.35      0.16436      0.03413      0.04092      0.05312
 -0.9703 165.99      0.16719      0.03522      0.04339      0.05334
 -0.9729 166.64      0.17099      0.03654      0.04685      0.05416
 -0.9755 167.28      0.17636      0.03814      0.05141      0.05603
 -0.9779 167.92      0.18402      0.04026      0.05718      0.05942
 -0.9802 168.57      0.19468      0.04338      0.06432      0.06460
 -0.9823 169.21      0.20882      0.04809      0.07306      0.07129
 -0.9844 169.86      0.22649      0.05470      0.08360      0.07831
 -0.9863 170.50      0.24704      0.06280      0.09607      0.08335
 -0.9881 171.14      0.26912      0.07111      0.11071      0.08346
 -0.9897 171.79      0.29091      0.07769      0.12800      0.07626
 -0.9913 172.43      0.31058      0.08056      0.14833      0.06152
 -0.9927 173.08      0.32667      0.07825      0.17084      0.04157
 -0.9940 173.72      0.33787      0.06987      0.19179      0.01993
 -0.9952 174.36      0.34239      0.05488      0.20329     -0.00107
 -0.9962 175.01      0.33809      0.03295      0.19400     -0.02159
 -0.9971 175.65      0.32508      0.00495      0.15192     -0.04274
 -0.9979 176.30      0.31011     -0.02521      0.06909     -0.06320
 -0.9986 176.94      0.30881     -0.04978     -0.05376     -0.07726
 -0.9991 177.58      0.33993     -0.05964     -0.20449     -0.07722
 -0.9995 178.23      0.41078     -0.05031     -0.36049     -0.05972
 -0.9998 178.87      0.50358     -0.02752     -0.49366     -0.03124
 -1.0000 179.51      0.57818     -0.00614     -0.57778     -0.00682
