!   mu    Theta      P11          P12          P33          P34
  1.0000   0.49    527.51592      0.02744    527.51572     -0.24772
  0.9998   1.13    471.55447      0.12924    471.54952     -1.16683
  0.9995   1.77    387.01313      0.25987    386.98826     -2.35104
  0.9991   2.42    293.76155      0.36181    293.69528     -3.29837
  0.9986   3.06    208.54471      0.39903    208.42132     -3.70867
  0.9979   3.70    140.67619      0.36827    140.49459     -3.56648
  0.9971   4.35     92.13129      0.29066     91.90434     -3.05068
  0.9962   4.99     60.21100      0.19508     59.95821     -2.38778
  0.9952   5.64     40.48727      0.10468     40.22758     -1.74968
  0.9940   6.28     28.75603      0.03149     28.50461     -1.22398
  0.9927   6.92     21.84673     -0.02197     21.61483     -0.83193
  0.9913   7.57     17.68438     -0.05822     17.47969     -0.55936
  0.9897   8.21     15.03879     -0.08089     14.86490     -0.37995
  0.9881   8.86     13.23006     -0.09292     13.08586     -0.26704
  0.9863   9.50     11.89872     -0.09653     11.77915     -0.19795
  0.9844  10.14     10.85748     -0.09382     10.75553     -0.15526
  0.9823  10.79     10.00655     -0.08694      9.91555     -0.12704
  0.9802  11.43      9.28952     -0.07785      9.20456     -0.10619
  0.9779  12.08      8.67186     -0.06804      8.59004     -0.08921
  0.9755  12.72      8.13075     -0.05838      8.05074     -0.07466
  0.9729  13.36      7.65021     -0.04925      7.57160     -0.06207
  0.9703  14.01      7.21857     -0.04075      7.14140     -0.05124
  0.9675  14.65      6.82698     -0.03279      6.75156     -0.04195
  0.9646  15.30      6.46863     -0.02523      6.39533     -0.03402
  0.9616  15.94      6.13818     -0.01797      6.06735     -0.02722
  0.9584  16.58      5.83150     -0.01095      5.76333     -0.02138
  0.9551  17.23      5.54535     -0.00423      5.47983     -0.01629
  0.9517  17.87      5.27722      0.00211      5.21410     -0.01181
  0.9482  18.52      5.02508      0.00802      4.96400     -0.00779
  0.9446  19.16      4.78726      0.01347      4.72786     -0.00414
  0.9409  19.80      4.56241      0.01848      4.50435     -0.00080
  0.9370  20.45      4.34939      0.02309      4.29245      0.00228
  0.9330  21.09      4.14726      0.02730      4.09128      0.00513
  0.9289  21.74      3.95524      0.03116      3.90011      0.00777
  0.9247  22.38      3.77263      0.03469      3.71830      0.01021
  0.9203  23.02      3.59887      0.03791      3.54528      0.01247
  0.9159  23.67      3.43345      0.04083      3.38057      0.01457
  0.9113  24.31      3.27594      0.04348      3.22371      0.01654
  0.9066  24.96      3.12594      0.04586      3.07432      0.01838
  0.9018  25.60      2.98308      0.04799      2.93203      0.02011
  0.8969  26.24      2.84702      0.04989      2.79647      0.02174
  0.8919  26.89      2.71741      0.05158      2.66731      0.02326
  0.8868  27.53      2.59396      0.05306      2.54426      0.02469
  0.8815  28.18      2.47637      0.05435      2.42704      0.02604
  0.8761  28.82      2.36438      0.05546      2.31538      0.02730
  0.8707  29.46      2.25774      0.05641      2.20902      0.02849
  0.8651  30.11      2.15616      0.05720      2.10772      0.02959
  0.8594  30.75      2.05941      0.05786      2.01121      0.03062
  0.8536  31.40      1.96726      0.05840      1.91928      0.03157
  0.8477  32.04      1.87948      0.05881      1.83170      0.03245
  0.8417  32.68      1.79588      0.05910      1.74828      0.03327
  0.8355  33.33      1.71626      0.05929      1.66882      0.03401
  0.8293  33.97      1.64041      0.05939      1.59312      0.03469
  0.8230  34.62      1.56813      0.05940      1.52098      0.03529
  0.8165  35.26      1.49924      0.05933      1.45223      0.03583
  0.8100  35.90      1.43359      0.05919      1.38672      0.03632
  0.8034  36.55      1.37103      0.05897      1.32428      0.03674
  0.7966  37.19      1.31141      0.05868      1.26476      0.03710
  0.7898  37.84      1.25456      0.05834      1.20803      0.03740
  0.7828  38.48      1.20034      0.05793      1.15392      0.03765
  0.7758  39.12      1.14862      0.05748      1.10232      0.03784
  0.7686  39.77      1.09928      0.05699      1.05309      0.03798
  0.7614  40.41      1.05221      0.05645      1.00614      0.03807
  0.7541  41.06      1.00729      0.05587      0.96134      0.03812
  0.7466  41.70      0.96443      0.05524      0.91860      0.03811
  0.7391  42.34      0.92350      0.05458      0.87780      0.03806
  0.7315  42.99      0.88442      0.05389      0.83885      0.03796
  0.7238  43.63      0.84708      0.05317      0.80165      0.03783
  0.7160  44.28      0.81141      0.05244      0.76614      0.03767
  0.7081  44.92      0.77734      0.05167      0.73222      0.03746
  0.7001  45.56      0.74479      0.05088      0.69983      0.03722
  0.6920  46.21      0.71369      0.05006      0.66889      0.03695
  0.6839  46.85      0.68394      0.04923      0.63932      0.03664
  0.6756  47.50      0.65550      0.04838      0.61106      0.03631
  0.6673  48.14      0.62830      0.04753      0.58405      0.03596
  0.6589  48.78      0.60228      0.04667      0.55824      0.03558
  0.6504  49.43      0.57740      0.04579      0.53357      0.03518
  0.6418  50.07      0.55360      0.04490      0.50998      0.03475
  0.6332  50.72      0.53083      0.04400      0.48743      0.03430
  0.6244  51.36      0.50903      0.04309      0.46586      0.03384
  0.6156  52.00      0.48817      0.04219      0.44523      0.03336
  0.6067  52.65      0.46819      0.04129      0.42550      0.03288
  0.5977  53.29      0.44907      0.04038      0.40663      0.03238
  0.5887  53.94      0.43077      0.03947      0.38859      0.03187
  0.5796  54.58      0.41325      0.03856      0.37133      0.03134
  0.5704  55.22      0.39647      0.03765      0.35481      0.03080
  0.5611  55.87      0.38040      0.03674      0.33900      0.03026
  0.5518  56.51      0.36501      0.03584      0.32388      0.02972
  0.5424  57.16      0.35026      0.03494      0.30941      0.02918
  0.5329  57.80      0.33614      0.03406      0.29557      0.02863
  0.5233  58.44      0.32261      0.03318      0.28233      0.02807
  0.5137  59.09      0.30965      0.03230      0.26966      0.02751
  0.5040  59.73      0.29724      0.03142      0.25753      0.02695
  0.4943  60.38      0.28535      0.03056      0.24592      0.02639
  0.4845  61.02      0.27396      0.02971      0.23482      0.02584
  0.4746  61.66      0.26304      0.02887      0.22419      0.02529
  0.4647  62.31      0.25257      0.02804      0.21402      0.02474
  0.4547  62.95      0.24255      0.02722      0.20429      0.02419
  0.4447  63.60      0.23295      0.02641      0.19498      0.02365
  0.4346  64.24      0.22375      0.02561      0.18607      0.02310
  0.4245  64.88      0.21494      0.02483      0.17753      0.02257
  0.4143  65.53      0.20649      0.02405      0.16937      0.02205
  0.4040  66.17      0.19840      0.02330      0.16156      0.02153
  0.3937  66.82      0.19065      0.02255      0.15409      0.02102
  0.3833  67.46      0.18322      0.02182      0.14695      0.02052
