!   mu    Theta      P11          P12          P33          P34
 -0.6033 127.10      0.05033     -0.02329      0.00171      0.02695
 -0.6072 127.39      0.05065     -0.02326      0.00135      0.02757
 -0.6111 127.67      0.05101     -0.02316      0.00102      0.02823
 -0.6150 127.95      0.05139     -0.02302      0.00074      0.02890
 -0.6189 128.24      0.05182     -0.02292      0.00050      0.02957
 -0.6228 128.52      0.05229     -0.02290      0.00027      0.03028
 -0.6267 128.80      0.05282     -0.02291      0.00002      0.03106
 -0.6305 129.09      0.05342     -0.02290     -0.00023      0.03194
 -0.6343 129.37      0.05412     -0.02285     -0.00042      0.03292
 -0.6381 129.65      0.05497     -0.02285     -0.00049      0.03399
 -0.6419 129.94      0.05600     -0.02299     -0.00040      0.03513
 -0.6457 130.22      0.05720     -0.02332     -0.00020      0.03634
 -0.6495 130.50      0.05857     -0.02380      0.00004      0.03766
 -0.6532 130.79      0.06009     -0.02436      0.00026      0.03911
 -0.6570 131.07      0.06173     -0.02493      0.00046      0.04069
 -0.6607 131.35      0.06353     -0.02554      0.00070      0.04241
 -0.6644 131.64      0.06555     -0.02628      0.00101      0.04426
 -0.6681 131.92      0.06789     -0.02721      0.00143      0.04630
 -0.6718 132.20      0.07057     -0.02839      0.00196      0.04857
 -0.6754 132.49      0.07354     -0.02981      0.00261      0.05105
 -0.6791 132.77      0.07673     -0.03144      0.00339      0.05372
 -0.6827 133.05      0.08011     -0.03325      0.00431      0.05652
 -0.6863 133.34      0.08376     -0.03524      0.00537      0.05948
 -0.6899 133.62      0.08780     -0.03750      0.00653      0.06268
 -0.6934 133.90      0.09231     -0.04009      0.00779      0.06618
 -0.6970 134.19      0.09727     -0.04305      0.00913      0.06996
 -0.7005 134.47      0.10261     -0.04633      0.01060      0.07393
 -0.7040 134.75      0.10826     -0.04989      0.01223      0.07803
 -0.7075 135.04      0.11420     -0.05373      0.01405      0.08219
 -0.7110 135.32      0.12050     -0.05794      0.01606      0.08646
 -0.7145 135.60      0.12722     -0.06262      0.01826      0.09086
 -0.7179 135.89      0.13442     -0.06780      0.02063      0.09542
 -0.7214 136.17      0.14205     -0.07348      0.02320      0.10011
 -0.7248 136.45      0.15003     -0.07958      0.02598      0.10483
 -0.7282 136.73      0.15828     -0.08607      0.02897      0.10950
 -0.7316 137.02      0.16675     -0.09294      0.03209      0.11401
 -0.7349 137.30      0.17541     -0.10023      0.03530      0.11829
 -0.7383 137.58      0.18426     -0.10796      0.03857      0.12227
 -0.7416 137.87      0.19332     -0.11616      0.04197      0.12593
 -0.7449 138.15      0.20257     -0.12481      0.04556      0.12922
 -0.7482 138.43      0.21196     -0.13386      0.04937      0.13211
 -0.7515 138.72      0.22141     -0.14318      0.05335      0.13451
 -0.7547 139.00      0.23073     -0.15264      0.05742      0.13630
 -0.7580 139.28      0.23974     -0.16206      0.06150      0.13732
 -0.7612 139.57      0.24827     -0.17133      0.06555      0.13743
 -0.7644 139.85      0.25624     -0.18039      0.06952      0.13653
 -0.7675 140.13      0.26360     -0.18918      0.07343      0.13459
 -0.7707 140.42      0.27035     -0.19763      0.07724      0.13158
 -0.7738 140.70      0.27640     -0.20561      0.08096      0.12747
 -0.7770 140.98      0.28164     -0.21297      0.08455      0.12223
 -0.7801 141.27      0.28592     -0.21951      0.08792      0.11580
 -0.7832 141.55      0.28910     -0.22504      0.09101      0.10816
 -0.7862 141.83      0.29112     -0.22937      0.09374      0.09935
 -0.7893 142.12      0.29193     -0.23234      0.09608      0.08947
 -0.7923 142.40      0.29159     -0.23384      0.09803      0.07867
 -0.7953 142.68      0.29011     -0.23379      0.09961      0.06711
 -0.7983 142.97      0.28750     -0.23212      0.10079      0.05499
 -0.8012 143.25      0.28374     -0.22876      0.10146      0.04251
 -0.8042 143.53      0.27884     -0.22364      0.10151      0.02987
 -0.8071 143.82      0.27289     -0.21680      0.10089      0.01722
 -0.8100 144.10      0.26605     -0.20832      0.09968      0.00473
 -0.8129 144.38      0.25854     -0.19833      0.09807     -0.00739
 -0.8158 144.67      0.25052     -0.18695      0.09616     -0.01886
 -0.8186 144.95      0.24209     -0.17430      0.09394     -0.02939
 -0.8215 145.23      0.23334     -0.16056      0.09129     -0.03872
 -0.8243 145.52      0.22439     -0.14592      0.08818     -0.04667
 -0.8271 145.80      0.21541     -0.13064      0.08463     -0.05313
 -0.8298 146.08      0.20660     -0.11500      0.08080     -0.05801
 -0.8326 146.37      0.19812     -0.09927      0.07680     -0.06126
 -0.8353 146.65      0.19016     -0.08379      0.07278     -0.06285
 -0.8380 146.93      0.18284     -0.06884      0.06884     -0.06279
 -0.8407 147.21      0.17625     -0.05467      0.06507     -0.06116
 -0.8434 147.50      0.17042     -0.04148      0.06151     -0.05807
 -0.8460 147.78      0.16534     -0.02942      0.05815     -0.05367
 -0.8486 148.06      0.16095     -0.01864      0.05497     -0.04816
 -0.8512 148.35      0.15721     -0.00930      0.05195     -0.04177
 -0.8538 148.63      0.15413     -0.00148      0.04913     -0.03470
 -0.8564 148.91      0.15178      0.00482      0.04660     -0.02718
 -0.8589 149.20      0.15015      0.00970      0.04439     -0.01943
 -0.8615 149.48      0.14912      0.01328      0.04253     -0.01168
 -0.8640 149.76      0.14850      0.01568      0.04096     -0.00415
 -0.8664 150.05      0.14817      0.01696      0.03963      0.00298
 -0.8689 150.33      0.14810      0.01717      0.03854      0.00955
 -0.8713 150.61      0.14831      0.01642      0.03769      0.01546
 -0.8737 150.90      0.14872      0.01490      0.03710      0.02059
 -0.8761 151.18      0.14920      0.01285      0.03672      0.02492
 -0.8785 151.46      0.14960      0.01056      0.03649      0.02846
 -0.8809 151.75      0.14982      0.00820      0.03630      0.03130
 -0.8832 152.03      0.14988      0.00580      0.03610      0.03349
 -0.8855 152.31      0.14989      0.00335      0.03593      0.03504
 -0.8878 152.60      0.14995      0.00091      0.03582      0.03593
 -0.8901 152.88      0.15003     -0.00135      0.03580      0.03617
 -0.8923 153.16      0.15003     -0.00325      0.03580      0.03586
 -0.8945 153.45      0.14982     -0.00471      0.03572      0.03515
 -0.8967 153.73      0.14939     -0.00576      0.03552      0.03419
 -0.8989 154.01      0.14882     -0.00649      0.03522      0.03310
 -0.9010 154.30      0.14820     -0.00695      0.03487      0.03187
 -0.9032 154.58      0.14755     -0.00717      0.03448      0.03050
 -0.9053 154.86      0.14688     -0.00715      0.03406      0.02898
 -0.9074 155.15      0.14617     -0.00686      0.03361      0.02742
 -0.9094 155.43      0.14546     -0.00633      0.03316      0.02597
 -0.9115 155.71      0.14480     -0.00561      0.03272      0.02471
 -0.9135 156.00      0.14417     -0.00479      0.03232      0.02363
 -0.9155 156.28      0.14355     -0.00392      0.03194      0.02265
 -0.9175 156.56      0.14288     -0.00298      0.03151      0.02170
 -0.9194 156.84      0.14216     -0.00190      0.03100      0.02079
 -0.9214 157.13      0.14142     -0.00068      0.03036      0.01999
 -0.9233 157.41      0.14069      0.00064      0.02963      0.01935
 -0.9252 157.69      0.14000      0.00193      0.02886      0.01886
 -0.9270 157.98      0.13942      0.00316      0.02817      0.01847
 -0.9289 158.26      0.13899      0.00434      0.02763      0.01815
 -0.9307 158.54      0.13867      0.00553      0.02724      0.01787
 -0.9325 158.83      0.13832      0.00672      0.02691      0.01763
 -0.9343 159.11      0.13784      0.00786      0.02652      0.01745
 -0.9360 159.39      0.13724      0.00891      0.02601      0.01732
 -0.9378 159.68      0.13668      0.00988      0.02544      0.01725
 -0.9395 159.96      0.13624      0.01077      0.02489      0.01724
 -0.9411 160.24      0.13592      0.01159      0.02442      0.01727
 -0.9428 160.53      0.13565      0.01237      0.02405      0.01729
 -0.9444 160.81      0.13540      0.01319      0.02371      0.01729
 -0.9460 161.09      0.13517      0.01412      0.02336      0.01733
 -0.9476 161.38      0.13497      0.01509      0.02298      0.01744
 -0.9492 161.66      0.13476      0.01597      0.02260      0.01761
 -0.9508 161.94      0.13455      0.01669      0.02228      0.01780
 -0.9523 162.23      0.13441      0.01732      0.02201      0.01792
 -0.9538 162.51      0.13434      0.01797      0.02172      0.01792
 -0.9552 162.79      0.13428      0.01868      0.02139      0.01784
 -0.9567 163.08      0.13420      0.01936      0.02101      0.01773
 -0.9581 163.36      0.13417      0.01992      0.02069      0.01765
 -0.9595 163.64      0.13425      0.02032      0.02050      0.01762
 -0.9609 163.93      0.13442      0.02065      0.02044      0.01762
 -0.9623 164.21      0.13455      0.02103      0.02048      0.01759
 -0.9636 164.49      0.13456      0.02153      0.02052      0.01754
 -0.9649 164.78      0.13454      0.02220      0.02050      0.01750
 -0.9662 165.06      0.13465      0.02301      0.02037      0.01749
 -0.9675 165.34      0.13497      0.02392      0.02017      0.01749
 -0.9687 165.63      0.13538      0.02484      0.01997      0.01744
 -0.9699 165.91      0.13579      0.02570      0.01987      0.01734
 -0.9711 166.19      0.13622      0.02644      0.01990      0.01720
 -0.9723 166.48      0.13677      0.02709      0.01996      0.01708
 -0.9734 166.76      0.13744      0.02773      0.01999      0.01698
 -0.9745 167.04      0.13813      0.02846      0.02000      0.01689
 -0.9756 167.32      0.13882      0.02936      0.02008      0.01686
 -0.9767 167.61      0.13961      0.03039      0.02028      0.01693
 -0.9778 167.89      0.14055      0.03146      0.02055      0.01711
 -0.9788 168.17      0.14153      0.03247      0.02083      0.01738
 -0.9798 168.46      0.14241      0.03336      0.02107      0.01770
 -0.9808 168.74      0.14331      0.03421      0.02137      0.01802
 -0.9817 169.02      0.14449      0.03511      0.02189      0.01829
 -0.9826 169.31      0.14604      0.03607      0.02275      0.01848
 -0.9835 169.59      0.14775      0.03697      0.02390      0.01864
 -0.9844 169.87      0.14935      0.03772      0.02511      0.01890
 -0.9853 170.16      0.15089      0.03839      0.02599      0.01944
 -0.9861 170.44      0.15261      0.03925      0.02630      0.02026
 -0.9869 170.72      0.15465      0.04055      0.02613      0.02115
 -0.9877 171.01      0.15690      0.04231      0.02606      0.02172
 -0.9885 171.29      0.15924      0.04424      0.02682      0.02168
 -0.9892 171.57      0.16167      0.04597      0.02888      0.02105
 -0.9899 171.86      0.16419      0.04727      0.03202      0.02024
 -0.9906 172.14      0.16674      0.04811      0.03548      0.01980
 -0.9913 172.42      0.16944      0.04870      0.03846      0.02005
 -0.9919 172.71      0.17267      0.04941      0.04055      0.02092
 -0.9925 172.99      0.17676      0.05060      0.04194      0.02208
 -0.9931 173.27      0.18169      0.05246      0.04324      0.02328
 -0.9937 173.56      0.18732      0.05502      0.04512      0.02439
 -0.9942 173.84      0.19360      0.05818      0.04805      0.02540
 -0.9947 174.12      0.20056      0.06176      0.05225      0.02627
 -0.9952 174.41      0.20825      0.06543      0.05773      0.02698
 -0.9957 174.69      0.21695      0.06898      0.06427      0.02762
 -0.9962 174.97      0.22732      0.07260      0.07170      0.02839
 -0.9966 175.26      0.24024      0.07681      0.08038      0.02953
 -0.9970 175.54      0.25662      0.08203      0.09131      0.03123
 -0.9973 175.82      0.27738      0.08830      0.10593      0.03354
 -0.9977 176.11      0.30344      0.09549      0.12556      0.03621
 -0.9980 176.39      0.33546      0.10329      0.15102      0.03859
 -0.9983 176.67      0.37316      0.11086      0.18234      0.03961
 -0.9986 176.95      0.41418      0.11603      0.21812      0.03781
 -0.9988 177.24      0.45296      0.11480      0.25420      0.03151
 -0.9991 177.52      0.48039      0.10192      0.28224      0.01915
 -0.9993 177.80      0.48588      0.07268      0.28913      0.00009
 -0.9994 178.09      0.46305      0.02608      0.25860     -0.02409
 -0.9996 178.37      0.41828     -0.03128      0.17622     -0.04847
 -0.9997 178.65      0.37643     -0.08339      0.03703     -0.06530
 -0.9998 178.94      0.37373     -0.10952     -0.14741     -0.06724
 -0.9999 179.22      0.43388     -0.09702     -0.34767     -0.05230
 -1.0000 179.50      0.54076     -0.05462     -0.52343     -0.02731
 -1.0000 179.78      0.63670     -0.01236     -0.63600     -0.00595
