!   mu    Theta      P11          P12          P33          P34
 -0.1471  98.46      0.06744      0.00860      0.02897      0.02034
 -0.1633  99.40      0.06621      0.00783      0.02750      0.02056
 -0.1795 100.34      0.06512      0.00704      0.02611      0.02085
 -0.1956 101.28      0.06419      0.00623      0.02479      0.02120
 -0.2117 102.22      0.06340      0.00541      0.02353      0.02160
 -0.2277 103.16      0.06275      0.00457      0.02232      0.02208
 -0.2436 104.10      0.06224      0.00374      0.02116      0.02261
 -0.2595 105.04      0.06185      0.00290      0.02003      0.02322
 -0.2753 105.98      0.06160      0.00207      0.01893      0.02389
 -0.2910 106.92      0.06147      0.00125      0.01786      0.02463
 -0.3067 107.86      0.06147      0.00045      0.01680      0.02544
 -0.3222 108.80      0.06159     -0.00033      0.01577      0.02633
 -0.3377 109.74      0.06184     -0.00109      0.01476      0.02730
 -0.3531 110.68      0.06222     -0.00180      0.01376      0.02835
 -0.3684 111.62      0.06273     -0.00248      0.01279      0.02951
 -0.3836 112.56      0.06338     -0.00312      0.01183      0.03076
 -0.3987 113.50      0.06417     -0.00372      0.01091      0.03212
 -0.4137 114.44      0.06512     -0.00427      0.01001      0.03361
 -0.4286 115.38      0.06623     -0.00478      0.00914      0.03524
 -0.4434 116.32      0.06753     -0.00525      0.00832      0.03703
 -0.4580 117.26      0.06902     -0.00568      0.00754      0.03898
 -0.4725 118.20      0.07072     -0.00608      0.00681      0.04112
 -0.4869 119.14      0.07267     -0.00646      0.00615      0.04348
 -0.5012 120.08      0.07487     -0.00683      0.00554      0.04608
 -0.5153 121.02      0.07735     -0.00721      0.00501      0.04893
 -0.5293 121.96      0.08015     -0.00760      0.00457      0.05208
 -0.5431 122.90      0.08328     -0.00805      0.00421      0.05553
 -0.5568 123.84      0.08678     -0.00856      0.00395      0.05933
 -0.5704 124.78      0.09068     -0.00916      0.00379      0.06349
 -0.5838 125.72      0.09501     -0.00990      0.00375      0.06804
 -0.5970 126.66      0.09978     -0.01081      0.00383      0.07300
 -0.6101 127.60      0.10503     -0.01193      0.00404      0.07838
 -0.6230 128.54      0.11077     -0.01330      0.00439      0.08419
 -0.6358 129.48      0.11701     -0.01497      0.00489      0.09041
 -0.6484 130.42      0.12375     -0.01699      0.00554      0.09704
 -0.6608 131.36      0.13099     -0.01943      0.00637      0.10404
 -0.6730 132.30      0.13870     -0.02233      0.00737      0.11136
 -0.6850 133.24      0.14685     -0.02574      0.00857      0.11893
 -0.6969 134.18      0.15538     -0.02971      0.00997      0.12665
