!   mu    Theta      P11          P12          P33          P34
  1.0000   0.39    857.04478      0.03158    857.04456     -0.35045
  0.9999   0.89    761.96594      0.14796    761.96047     -1.64387
  0.9997   1.40    619.39230      0.29461    619.36503     -3.28840
  0.9994   1.91    463.87887      0.40396    463.80698     -4.56774
  0.9991   2.42    323.79000      0.43522    323.65808     -5.07298
  0.9987   2.93    214.07521      0.38670    213.88487     -4.80847
  0.9982   3.44    137.02069      0.28468    136.78951     -4.04626
  0.9976   3.95     87.29679      0.16366     87.04966     -3.11141
  0.9970   4.46     57.12340      0.05133     56.88312     -2.24149
  0.9962   4.97     39.46597     -0.03704     39.24737     -1.55055
  0.9954   5.47     29.20613     -0.09722     29.01458     -1.05722
  0.9946   5.98     23.09348     -0.13217     22.92665     -0.72922
  0.9936   6.49     19.24856     -0.14821     19.10009     -0.51869
  0.9925   7.00     16.65156     -0.15238     16.51508     -0.38253
  0.9914   7.51     14.76875     -0.15067     14.64069     -0.29049
  0.9902   8.02     13.32283     -0.14694     13.20299     -0.22527
  0.9889   8.53     12.16621     -0.14270     12.05625     -0.17841
  0.9876   9.04     11.21574     -0.13768     11.11698     -0.14546
  0.9861   9.55     10.42048     -0.13108     10.33250     -0.12282
  0.9846  10.06      9.74600     -0.12262      9.66671     -0.10693
  0.9830  10.57      9.16704     -0.11280      9.09369     -0.09472
  0.9814  11.08      8.66415     -0.10252      8.59436     -0.08410
  0.9796  11.58      8.22213     -0.09256      8.15440     -0.07407
  0.9778  12.09      7.82919     -0.08326      7.76287     -0.06443
  0.9759  12.60      7.47618     -0.07462      7.41112     -0.05539
  0.9739  13.11      7.15593     -0.06647      7.09216     -0.04727
  0.9719  13.62      6.86273     -0.05867      6.80025     -0.04024
  0.9697  14.13      6.59203     -0.05113      6.53083     -0.03427
  0.9675  14.64      6.34021     -0.04382      6.28030     -0.02911
  0.9653  15.15      6.10446     -0.03680      6.04587     -0.02449
  0.9629  15.66      5.88256     -0.03008      5.82535     -0.02021
  0.9605  16.17      5.67281     -0.02368      5.61697     -0.01619
  0.9579  16.68      5.47385     -0.01752      5.41936     -0.01245
  0.9554  17.19      5.28463     -0.01152      5.23138     -0.00907
  0.9527  17.69      5.10422     -0.00566      5.05205     -0.00608
  0.9500  18.20      4.93173      0.00006      4.88046     -0.00345
  0.9471  18.71      4.76629      0.00555      4.71571     -0.00107
  0.9442  19.22      4.60710      0.01077      4.55704      0.00118
  0.9413  19.73      4.45356      0.01566      4.40389      0.00340
  0.9382  20.24      4.30527      0.02020      4.25596      0.00556
  0.9351  20.75      4.16206      0.02440      4.11310      0.00761
  0.9320  21.26      4.02384      0.02832      3.97525      0.00944
  0.9287  21.77      3.89050      0.03204      3.84229      0.01105
  0.9254  22.28      3.76184      0.03560      3.71395      0.01246
  0.9220  22.79      3.63755      0.03902      3.58990      0.01376
  0.9185  23.30      3.51733      0.04225      3.46983      0.01501
  0.9149  23.80      3.40092      0.04528      3.35349      0.01624
  0.9113  24.31      3.28816      0.04811      3.24079      0.01743
  0.9076  24.82      3.17895      0.05074      3.13164      0.01860
  0.9038  25.33      3.07318      0.05314      3.02596      0.01973
  0.9000  25.84      2.97074      0.05530      2.92361      0.02082
  0.8961  26.35      2.87151      0.05725      2.82443      0.02180
  0.8921  26.86      2.77540      0.05905      2.72833      0.02268
  0.8881  27.37      2.68243      0.06076      2.63533      0.02347
  0.8839  27.88      2.59264      0.06236      2.54547      0.02424
  0.8798  28.39      2.50601      0.06380      2.45874      0.02504
  0.8755  28.90      2.42234      0.06503      2.37498      0.02584
  0.8712  29.41      2.34133      0.06606      2.29391      0.02658
  0.8668  29.92      2.26270      0.06695      2.21524      0.02719
  0.8623  30.42      2.18635      0.06776      2.13885      0.02765
  0.8578  30.93      2.11235      0.06856      2.06480      0.02803
  0.8532  31.44      2.04089      0.06934      1.99324      0.02843
  0.8485  31.95      1.97204      0.07004      1.92426      0.02894
  0.8438  32.46      1.90573      0.07054      1.85783      0.02955
  0.8390  32.97      1.84171      0.07081      1.79371      0.03014
  0.8341  33.48      1.77971      0.07092      1.73168      0.03058
  0.8291  33.99      1.71959      0.07099      1.67153      0.03084
  0.8241  34.50      1.66132      0.07106      1.61322      0.03100
  0.8191  35.01      1.60498      0.07113      1.55681      0.03115
  0.8139  35.52      1.55058      0.07110      1.50233      0.03136
  0.8088  36.03      1.49807      0.07097      1.44978      0.03159
  0.8035  36.53      1.44739      0.07078      1.39908      0.03178
  0.7982  37.04      1.39847      0.07058      1.35017      0.03192
  0.7928  37.55      1.35127      0.07038      1.30297      0.03205
  0.7873  38.06      1.30572      0.07010      1.25742      0.03221
  0.7818  38.57      1.26168      0.06965      1.21338      0.03236
  0.7763  39.08      1.21900      0.06904      1.17074      0.03242
  0.7706  39.59      1.17761      0.06838      1.12941      0.03233
  0.7649  40.10      1.13753      0.06781      1.08940      0.03215
  0.7592  40.61      1.09884      0.06738      1.05078      0.03200
  0.7534  41.12      1.06161      0.06697      1.01360      0.03198
  0.7475  41.63      1.02580      0.06641      0.97788      0.03207
  0.7416  42.14      0.99129      0.06566      0.94349      0.03214
  0.7356  42.65      0.95794      0.06477      0.91029      0.03205
  0.7295  43.15      0.92563      0.06393      0.87813      0.03181
  0.7234  43.66      0.89432      0.06320      0.84695      0.03151
  0.7172  44.17      0.86399      0.06254      0.81676      0.03127
  0.7110  44.68      0.83466      0.06185      0.78761      0.03110
  0.7047  45.19      0.80636      0.06105      0.75949      0.03094
  0.6984  45.70      0.77907      0.06017      0.73241      0.03074
  0.6920  46.21      0.75278      0.05927      0.70631      0.03051
  0.6856  46.72      0.72741      0.05839      0.68112      0.03028
  0.6791  47.23      0.70288      0.05750      0.65681      0.03008
  0.6725  47.74      0.67915      0.05657      0.63332      0.02985
  0.6659  48.25      0.65619      0.05564      0.61064      0.02952
  0.6593  48.76      0.63401      0.05476      0.58874      0.02909
  0.6526  49.26      0.61260      0.05395      0.56759      0.02867
  0.6458  49.77      0.59195      0.05315      0.54716      0.02838
  0.6390  50.28      0.57200      0.05226      0.52745      0.02822
  0.6321  50.79      0.55272      0.05122      0.50843      0.02807
  0.6252  51.30      0.53408      0.05012      0.49008      0.02778
  0.6183  51.81      0.51602      0.04908      0.47233      0.02730
  0.6113  52.32      0.49852      0.04816      0.45514      0.02675
  0.6042  52.83      0.48159      0.04734      0.43852      0.02624
  0.5971  53.34      0.46527      0.04652      0.42251      0.02588
  0.5899  53.85      0.44961      0.04564      0.40715      0.02562
  0.5827  54.36      0.43458      0.04470      0.39241      0.02539
  0.5755  54.87      0.42009      0.04374      0.37818      0.02513
  0.5682  55.37      0.40602      0.04276      0.36438      0.02481
  0.5609  55.88      0.39231      0.04177      0.35098      0.02442
  0.5535  56.39      0.37898      0.04078      0.33800      0.02393
  0.5461  56.90      0.36608      0.03983      0.32548      0.02337
  0.5386  57.41      0.35366      0.03895      0.31341      0.02284
  0.5311  57.92      0.34172      0.03812      0.30176      0.02240
  0.5235  58.43      0.33023      0.03729      0.29054      0.02211
  0.5159  58.94      0.31919      0.03641      0.27975      0.02188
  0.5083  59.45      0.30856      0.03551      0.26939      0.02161
  0.5006  59.96      0.29828      0.03462      0.25942      0.02123
  0.4929  60.47      0.28829      0.03377      0.24976      0.02077
  0.4852  60.98      0.27856      0.03292      0.24037      0.02030
  0.4774  61.49      0.26912      0.03204      0.23127      0.01988
  0.4696  61.99      0.26004      0.03113      0.22250      0.01950
  0.4617  62.50      0.25132      0.03021      0.21406      0.01912
  0.4538  63.01      0.24294      0.02935      0.20592      0.01872
  0.4459  63.52      0.23483      0.02857      0.19806      0.01831
  0.4379  64.03      0.22698      0.02787      0.19048      0.01790
  0.4299  64.54      0.21939      0.02721      0.18319      0.01751
  0.4218  65.05      0.21209      0.02653      0.17619      0.01716
  0.4138  65.56      0.20506      0.02579      0.16945      0.01686
  0.4057  66.07      0.19826      0.02496      0.16292      0.01658
  0.3975  66.58      0.19170      0.02406      0.15659      0.01629
  0.3893  67.09      0.18537      0.02315      0.15049      0.01596
  0.3811  67.60      0.17924      0.02233      0.14462      0.01555
  0.3729  68.10      0.17330      0.02165      0.13895      0.01507
  0.3647  68.61      0.16753      0.02111      0.13346      0.01459
  0.3564  69.12      0.16195      0.02062      0.12815      0.01419
  0.3480  69.63      0.15661      0.02011      0.12304      0.01391
  0.3397  70.14      0.15153      0.01948      0.11815      0.01372
  0.3313  70.65      0.14668      0.01874      0.11347      0.01357
  0.3229  71.16      0.14199      0.01793      0.10896      0.01337
  0.3145  71.67      0.13742      0.01713      0.10460      0.01308
  0.3061  72.18      0.13295      0.01642      0.10038      0.01272
  0.2976  72.69      0.12860      0.01584      0.09631      0.01230
  0.2891  73.20      0.12439      0.01537      0.09236      0.01188
  0.2806  73.71      0.12035      0.01495      0.08853      0.01152
  0.2720  74.22      0.11651      0.01452      0.08485      0.01125
  0.2635  74.72      0.11287      0.01403      0.08132      0.01109
  0.2549  75.23      0.10941      0.01345      0.07796      0.01097
  0.2463  75.74      0.10605      0.01282      0.07474      0.01083
  0.2377  76.25      0.10276      0.01218      0.07163      0.01063
  0.2290  76.76      0.09951      0.01158      0.06859      0.01036
  0.2204  77.27      0.09634      0.01107      0.06565      0.01004
  0.2117  77.78      0.09330      0.01065      0.06281      0.00972
  0.2030  78.29      0.09043      0.01028      0.06009      0.00942
  0.1943  78.80      0.08772      0.00993      0.05750      0.00918
  0.1855  79.31      0.08517      0.00956      0.05502      0.00901
  0.1768  79.82      0.08273      0.00914      0.05264      0.00888
  0.1681  80.33      0.08033      0.00867      0.05035      0.00877
  0.1593  80.83      0.07795      0.00817      0.04810      0.00864
  0.1505  81.34      0.07561      0.00767      0.04591      0.00846
  0.1417  81.85      0.07335      0.00723      0.04380      0.00824
  0.1329  82.36      0.07121      0.00687      0.04179      0.00801
  0.1241  82.87      0.06922      0.00658      0.03990      0.00778
  0.1153  83.38      0.06735      0.00634      0.03812      0.00758
  0.1064  83.89      0.06556      0.00609      0.03641      0.00742
  0.0976  84.40      0.06380      0.00579      0.03476      0.00732
  0.0888  84.91      0.06209      0.00542      0.03313      0.00724
  0.0799  85.42      0.06041      0.00501      0.03154      0.00717
  0.0710  85.93      0.05881      0.00459      0.03000      0.00706
  0.0622  86.44      0.05729      0.00424      0.02852      0.00692
  0.0533  86.94      0.05585      0.00397      0.02712      0.00676
  0.0444  87.45      0.05448      0.00377      0.02582      0.00661
  0.0355  87.96      0.05314      0.00361      0.02459      0.00648
  0.0267  88.47      0.05184      0.00344      0.02342      0.00639
  0.0178  88.98      0.05058      0.00323      0.02228      0.00635
  0.0089  89.49      0.04938      0.00296      0.02116      0.00633
  0.0000  90.00      0.04825      0.00265      0.02006      0.00632
 -0.0089  90.51      0.04719      0.00235      0.01899      0.00628
 -0.0178  91.02      0.04618      0.00207      0.01795      0.00620
 -0.0267  91.53      0.04520      0.00186      0.01697      0.00610
 -0.0355  92.04      0.04426      0.00172      0.01605      0.00601
 -0.0444  92.55      0.04333      0.00161      0.01519      0.00594
 -0.0533  93.06      0.04242      0.00151      0.01437      0.00592
 -0.0622  93.56      0.04153      0.00140      0.01358      0.00594
 -0.0710  94.07      0.04068      0.00125      0.01280      0.00597
 -0.0799  94.58      0.03988      0.00108      0.01204      0.00599
 -0.0888  95.09      0.03913      0.00090      0.01128      0.00599
 -0.0976  95.60      0.03844      0.00073      0.01055      0.00595
 -0.1064  96.11      0.03780      0.00059      0.00986      0.00588
 -0.1153  96.62      0.03721      0.00048      0.00923      0.00581
 -0.1241  97.13      0.03662      0.00041      0.00863      0.00576
 -0.1329  97.64      0.03603      0.00035      0.00806      0.00574
 -0.1417  98.15      0.03543      0.00030      0.00751      0.00574
 -0.1505  98.66      0.03484      0.00026      0.00696      0.00575
 -0.1593  99.17      0.03428      0.00021      0.00645      0.00575
 -0.1681  99.67      0.03378      0.00015      0.00598      0.00574
 -0.1768 100.18      0.03335      0.00009      0.00557      0.00570
 -0.1855 100.69      0.03297      0.00001      0.00521      0.00565
 -0.1943 101.20      0.03264     -0.00008      0.00487      0.00559
 -0.2030 101.71      0.03233     -0.00019      0.00455      0.00552
 -0.2117 102.22      0.03204     -0.00028      0.00423      0.00546
 -0.2204 102.73      0.03176     -0.00036      0.00392      0.00542
 -0.2290 103.24      0.03152     -0.00042      0.00364      0.00540
 -0.2377 103.75      0.03131     -0.00047      0.00342      0.00539
 -0.2463 104.26      0.03113     -0.00054      0.00329      0.00540
 -0.2549 104.77      0.03098     -0.00064      0.00325      0.00542
 -0.2635 105.28      0.03087     -0.00079      0.00326      0.00544
 -0.2720 105.78      0.03080     -0.00099      0.00329      0.00546
 -0.2806 106.29      0.03078     -0.00122      0.00331      0.00548
 -0.2891 106.80      0.03083     -0.00147      0.00331      0.00551
