!   mu    Theta      P11          P12          P33          P34
 -0.2976 107.31      0.03096     -0.00173      0.00330      0.00558
 -0.3061 107.82      0.03115     -0.00200      0.00332      0.00569
 -0.3145 108.33      0.03138     -0.00229      0.00339      0.00585
 -0.3229 108.84      0.03163     -0.00260      0.00352      0.00604
 -0.3313 109.35      0.03189     -0.00294      0.00372      0.00626
 -0.3397 109.86      0.03215     -0.00331      0.00397      0.00652
 -0.3480 110.37      0.03245     -0.00373      0.00423      0.00680
 -0.3564 110.88      0.03280     -0.00419      0.00448      0.00711
 -0.3647 111.39      0.03322     -0.00469      0.00470      0.00745
 -0.3729 111.90      0.03372     -0.00522      0.00488      0.00785
 -0.3811 112.40      0.03428     -0.00576      0.00505      0.00830
 -0.3893 112.91      0.03490     -0.00632      0.00521      0.00882
 -0.3975 113.42      0.03556     -0.00689      0.00537      0.00938
 -0.4057 113.93      0.03623     -0.00746      0.00553      0.00998
 -0.4138 114.44      0.03692     -0.00805      0.00570      0.01061
 -0.4218 114.95      0.03763     -0.00865      0.00587      0.01126
 -0.4299 115.46      0.03837     -0.00928      0.00602      0.01196
 -0.4379 115.97      0.03913     -0.00993      0.00614      0.01272
 -0.4459 116.48      0.03993     -0.01059      0.00622      0.01355
 -0.4538 116.99      0.04076     -0.01125      0.00627      0.01444
 -0.4617 117.50      0.04165     -0.01190      0.00631      0.01539
 -0.4696 118.01      0.04259     -0.01250      0.00635      0.01638
 -0.4774 118.51      0.04357     -0.01308      0.00636      0.01739
 -0.4852 119.02      0.04458     -0.01362      0.00633      0.01844
 -0.4929 119.53      0.04563     -0.01417      0.00625      0.01953
 -0.5006 120.04      0.04674     -0.01475      0.00614      0.02069
 -0.5083 120.55      0.04792     -0.01536      0.00602      0.02193
 -0.5159 121.06      0.04915     -0.01599      0.00590      0.02327
 -0.5235 121.57      0.05044     -0.01660      0.00580      0.02469
 -0.5311 122.08      0.05177     -0.01717      0.00571      0.02619
 -0.5386 122.59      0.05317     -0.01768      0.00567      0.02776
 -0.5461 123.10      0.05468     -0.01817      0.00565      0.02939
 -0.5535 123.61      0.05631     -0.01868      0.00563      0.03112
 -0.5609 124.12      0.05806     -0.01924      0.00560      0.03296
 -0.5682 124.63      0.05995     -0.01985      0.00557      0.03494
 -0.5755 125.13      0.06199     -0.02052      0.00557      0.03706
 -0.5827 125.64      0.06421     -0.02124      0.00564      0.03935
 -0.5899 126.15      0.06664     -0.02201      0.00578      0.04180
 -0.5971 126.66      0.06927     -0.02284      0.00599      0.04442
 -0.6042 127.17      0.07211     -0.02375      0.00624      0.04723
 -0.6113 127.68      0.07519     -0.02476      0.00654      0.05025
 -0.6183 128.19      0.07854     -0.02592      0.00693      0.05347
 -0.6252 128.70      0.08219     -0.02731      0.00745      0.05690
 -0.6321 129.21      0.08616     -0.02893      0.00812      0.06056
 -0.6390 129.72      0.09044     -0.03075      0.00892      0.06443
 -0.6458 130.23      0.09502     -0.03276      0.00985      0.06854
 -0.6526 130.74      0.09993     -0.03495      0.01089      0.07288
 -0.6593 131.24      0.10519     -0.03739      0.01204      0.07742
 -0.6659 131.75      0.11083     -0.04020      0.01331      0.08215
 -0.6725 132.26      0.11687     -0.04343      0.01471      0.08707
 -0.6791 132.77      0.12330     -0.04710      0.01628      0.09215
 -0.6856 133.28      0.13011     -0.05121      0.01804      0.09735
 -0.6920 133.79      0.13725     -0.05572      0.02002      0.10263
 -0.6984 134.30      0.14467     -0.06064      0.02220      0.10789
 -0.7047 134.81      0.15229     -0.06597      0.02454      0.11307
 -0.7110 135.32      0.16007     -0.07173      0.02702      0.11806
 -0.7172 135.83      0.16795     -0.07796      0.02965      0.12275
 -0.7234 136.34      0.17588     -0.08465      0.03246      0.12702
 -0.7295 136.85      0.18379     -0.09175      0.03548      0.13078
 -0.7356 137.35      0.19160     -0.09917      0.03867      0.13392
 -0.7416 137.86      0.19921     -0.10679      0.04196      0.13634
 -0.7475 138.37      0.20649     -0.11451      0.04530      0.13793
 -0.7534 138.88      0.21328     -0.12222      0.04865      0.13852
 -0.7592 139.39      0.21945     -0.12986      0.05201      0.13794
 -0.7649 139.90      0.22488     -0.13731      0.05537      0.13607
 -0.7706 140.41      0.22948     -0.14439      0.05870      0.13283
 -0.7763 140.92      0.23316     -0.15088      0.06196      0.12820
 -0.7818 141.43      0.23584     -0.15655      0.06509      0.12219
 -0.7873 141.94      0.23742     -0.16117      0.06801      0.11483
 -0.7928 142.45      0.23784     -0.16458      0.07066      0.10613
 -0.7982 142.96      0.23705     -0.16662      0.07298      0.09616
 -0.8035 143.47      0.23510     -0.16715      0.07494      0.08508
 -0.8088 143.97      0.23203     -0.16604      0.07651      0.07309
 -0.8139 144.48      0.22794     -0.16315      0.07765      0.06047
 -0.8191 144.99      0.22292     -0.15841      0.07831      0.04752
 -0.8241 145.50      0.21711     -0.15181      0.07848      0.03457
 -0.8291 146.01      0.21066     -0.14341      0.07814      0.02195
 -0.8341 146.52      0.20378     -0.13335      0.07733      0.01000
 -0.8390 147.03      0.19666     -0.12182      0.07608     -0.00096
 -0.8438 147.54      0.18948     -0.10907      0.07441     -0.01062
 -0.8485 148.05      0.18243     -0.09536      0.07233     -0.01874
 -0.8532 148.56      0.17569     -0.08102      0.06986     -0.02509
 -0.8578 149.07      0.16942     -0.06638      0.06709     -0.02952
 -0.8623 149.58      0.16377     -0.05182      0.06409     -0.03197
 -0.8668 150.08      0.15884     -0.03768      0.06099     -0.03244
 -0.8712 150.59      0.15467     -0.02431      0.05787     -0.03103
 -0.8755 151.10      0.15131     -0.01198      0.05481     -0.02791
 -0.8798 151.61      0.14874     -0.00096      0.05186     -0.02331
 -0.8839 152.12      0.14690      0.00857      0.04907     -0.01750
 -0.8881 152.63      0.14569      0.01647      0.04649     -0.01082
 -0.8921 153.14      0.14503      0.02272      0.04417     -0.00359
 -0.8961 153.65      0.14481      0.02737      0.04216      0.00387
 -0.9000 154.16      0.14494      0.03051      0.04046      0.01128
 -0.9038 154.67      0.14535      0.03228      0.03910      0.01839
 -0.9076 155.18      0.14594      0.03285      0.03806      0.02498
 -0.9113 155.69      0.14662      0.03238      0.03734      0.03086
 -0.9149 156.20      0.14732      0.03109      0.03692      0.03587
 -0.9185 156.70      0.14795      0.02919      0.03677      0.03992
 -0.9220 157.21      0.14848      0.02692      0.03684      0.04296
 -0.9254 157.72      0.14889      0.02451      0.03709      0.04501
 -0.9287 158.23      0.14920      0.02217      0.03747      0.04617
 -0.9320 158.74      0.14945      0.02006      0.03792      0.04655
 -0.9351 159.25      0.14968      0.01826      0.03843      0.04631
 -0.9382 159.76      0.14994      0.01685      0.03895      0.04555
 -0.9413 160.27      0.15026      0.01588      0.03945      0.04437
 -0.9442 160.78      0.15065      0.01542      0.03991      0.04289
 -0.9471 161.29      0.15116      0.01551      0.04032      0.04121
 -0.9500 161.80      0.15182      0.01615      0.04069      0.03944
 -0.9527 162.31      0.15267      0.01731      0.04100      0.03770
 -0.9554 162.81      0.15373      0.01888      0.04124      0.03607
 -0.9579 163.32      0.15499      0.02075      0.04139      0.03464
 -0.9605 163.83      0.15648      0.02280      0.04148      0.03349
 -0.9629 164.34      0.15819      0.02500      0.04158      0.03269
 -0.9653 164.85      0.16014      0.02736      0.04179      0.03229
 -0.9675 165.36      0.16233      0.02989      0.04222      0.03227
 -0.9697 165.87      0.16476      0.03254      0.04296      0.03259
 -0.9719 166.38      0.16741      0.03517      0.04406      0.03318
 -0.9739 166.89      0.17032      0.03765      0.04555      0.03405
 -0.9759 167.40      0.17361      0.03987      0.04749      0.03522
 -0.9778 167.91      0.17750      0.04188      0.04991      0.03674
 -0.9796 168.42      0.18222      0.04386      0.05289      0.03871
 -0.9814 168.92      0.18794      0.04611      0.05641      0.04126
 -0.9830 169.43      0.19472      0.04894      0.06029      0.04443
 -0.9846 169.94      0.20243      0.05254      0.06433      0.04788
 -0.9861 170.45      0.21085      0.05680      0.06859      0.05072
 -0.9876 170.96      0.21976      0.06131      0.07369      0.05173
 -0.9889 171.47      0.22926      0.06543      0.08086      0.05012
 -0.9902 171.98      0.24016      0.06865      0.09137      0.04644
 -0.9914 172.49      0.25419      0.07108      0.10598      0.04271
 -0.9925 173.00      0.27369      0.07357      0.12484      0.04140
 -0.9936 173.51      0.30063      0.07726      0.14787      0.04377
 -0.9946 174.02      0.33524      0.08254      0.17491      0.04867
 -0.9954 174.53      0.37467      0.08799      0.20492      0.05265
 -0.9962 175.03      0.41231      0.08992      0.23432      0.05114
 -0.9970 175.54      0.43829      0.08310      0.25545      0.03997
 -0.9976 176.05      0.44226      0.06274      0.25634      0.01722
 -0.9982 176.56      0.41934      0.02762      0.22285     -0.01512
 -0.9987 177.07      0.37754     -0.01677      0.14337     -0.04999
 -0.9991 177.58      0.34108     -0.05738      0.01524     -0.07624
 -0.9994 178.09      0.34201     -0.07811     -0.15007     -0.08298
 -0.9997 178.60      0.39871     -0.06976     -0.32662     -0.06650
 -0.9999 179.11      0.49439     -0.03930     -0.48005     -0.03531
 -1.0000 179.61      0.57839     -0.00888     -0.57782     -0.00775
